2024-05-28 12:59:23,851:INFO:Product ID: 349, Score: 50
2024-05-28 12:59:23,851:INFO:Product ID: 350, Score: 4
2024-05-28 12:59:23,851:INFO:Product ID: 351, Score: 19
2024-05-28 12:59:23,851:INFO:Product ID: 352, Score: 18
2024-05-28 12:59:23,851:INFO:Product ID: 353, Score: 17
2024-05-28 12:59:23,852:INFO:Product ID: 354, Score: 3
2024-05-28 12:59:23,852:INFO:Product ID: 355, Score: 18
2024-05-28 12:59:23,852:INFO:Product ID: 356, Score: 11
2024-05-28 12:59:23,852:INFO:Product ID: 357, Score: 53
2024-05-28 12:59:23,852:INFO:Product ID: 358, Score: 37
2024-05-28 12:59:23,852:INFO:Product ID: 359, Score: 168
2024-05-28 12:59:23,852:INFO:Product ID: 360, Score: 7
2024-05-28 12:59:23,852:INFO:Product ID: 361, Score: 53
2024-05-28 12:59:23,853:INFO:Product ID: 362, Score: 163
2024-05-28 12:59:23,853:INFO:Product ID: 363, Score: 123
2024-05-28 12:59:23,853:INFO:Product ID: 364, Score: 163
2024-05-28 12:59:23,853:INFO:Product ID: 365, Score: 48
2024-05-28 12:59:23,853:INFO:Product ID: 366, Score: 40
2024-05-28 12:59:23,853:INFO:Product ID: 367, Score: 163
2024-05-28 12:59:23,853:INFO:Product ID: 368, Score: 164
2024-05-28 12:59:23,853:INFO:Product ID: 369, Score: 69
2024-05-28 12:59:23,853:INFO:Product ID: 370, Score: 163
2024-05-28 12:59:23,853:INFO:Product ID: 371, Score: 163
2024-05-28 12:59:23,854:INFO:Product ID: 372, Score: 163
2024-05-28 12:59:23,854:INFO:Product ID: 373, Score: 168
2024-05-28 12:59:23,854:INFO:Product ID: 374, Score: 62
2024-05-28 12:59:23,854:INFO:Product ID: 375, Score: 164
2024-05-28 12:59:23,854:INFO:Product ID: 376, Score: 9
2024-05-28 12:59:23,854:INFO:Product ID: 377, Score: 51
2024-05-28 12:59:23,854:INFO:Product ID: 378, Score: 164
2024-05-28 12:59:23,854:INFO:Product ID: 379, Score: 164
2024-05-28 12:59:23,854:INFO:Product ID: 380, Score: 163
2024-05-28 12:59:23,855:INFO:Product ID: 381, Score: 59
2024-05-28 12:59:23,855:INFO:Product ID: 382, Score: 61
2024-05-28 12:59:23,855:INFO:Product ID: 383, Score: 168
2024-05-28 12:59:23,855:INFO:Product ID: 384, Score: 62
2024-05-28 12:59:23,855:INFO:Product ID: 385, Score: 45
2024-05-28 12:59:23,855:INFO:Product ID: 386, Score: 38
2024-05-28 12:59:23,855:INFO:Product ID: 387, Score: 29
2024-05-28 12:59:23,855:INFO:Product ID: 388, Score: 163
2024-05-28 12:59:23,855:INFO:Product ID: 389, Score: 163
2024-05-28 12:59:23,856:INFO:Product ID: 390, Score: 62
2024-05-28 12:59:23,856:INFO:Product ID: 391, Score: 164
2024-05-28 12:59:23,856:INFO:Product ID: 392, Score: 164
2024-05-28 12:59:23,856:INFO:Product ID: 393, Score: 163
2024-05-28 12:59:23,856:INFO:Product ID: 394, Score: 58
2024-05-28 12:59:23,856:INFO:Product ID: 395, Score: 163
2024-05-28 12:59:23,856:INFO:Product ID: 396, Score: 168
2024-05-28 12:59:23,856:INFO:Product ID: 397, Score: 105
2024-05-28 12:59:23,856:INFO:Product ID: 398, Score: 175
2024-05-28 12:59:23,856:INFO:Product ID: 399, Score: 168
2024-05-28 12:59:23,857:INFO:Product ID: 400, Score: 33
2024-05-28 12:59:23,857:INFO:Product ID: 401, Score: 163
2024-05-28 12:59:23,857:INFO:Product ID: 402, Score: 162
2024-05-28 12:59:23,857:INFO:Product ID: 403, Score: 163
2024-05-28 12:59:23,857:INFO:Product ID: 404, Score: 164
2024-05-28 12:59:23,857:INFO:Product ID: 405, Score: 5
2024-05-28 12:59:23,857:INFO:Product ID: 406, Score: 163
2024-05-28 12:59:23,857:INFO:Product ID: 407, Score: 164
2024-05-28 12:59:23,857:INFO:Product ID: 408, Score: 164
2024-05-28 12:59:23,858:INFO:Product ID: 409, Score: 61
2024-05-28 12:59:23,858:INFO:Product ID: 410, Score: 163
2024-05-28 12:59:23,858:INFO:Product ID: 411, Score: 14
2024-05-28 12:59:23,858:INFO:Product ID: 412, Score: 15
2024-05-28 12:59:23,858:INFO:Product ID: 413, Score: 10
2024-05-28 12:59:23,858:INFO:Product ID: 414, Score: 11
2024-05-28 12:59:23,858:INFO:Product ID: 415, Score: 8
2024-05-28 12:59:23,858:INFO:Product ID: 416, Score: 13
2024-05-28 12:59:23,858:INFO:Product ID: 417, Score: 13
2024-05-28 12:59:23,858:INFO:Product ID: 418, Score: 18
2024-05-28 12:59:23,859:INFO:Product ID: 419, Score: 9
2024-05-28 12:59:23,859:INFO:Product ID: 420, Score: 14
2024-05-28 12:59:23,859:INFO:Product ID: 421, Score: 7
2024-05-28 12:59:23,859:INFO:Product ID: 422, Score: 6
2024-05-28 12:59:23,859:INFO:Product ID: 423, Score: 38
